lp.;data;nazwa produktu;kolor;rozmiar;cena
523;02.03.2022;ukulele koncertowe;niebieski;15;679
524;02.03.2022;ukulele basowe;klon;15;1199
525;02.03.2022;gitara basowa;niebieski;39;1329
526;03.03.2022;ukulele tenorowe;bia造;17;699
527;03.03.2022;ukulele tenorowe;bia造;17;229
528;03.03.2022;ukulele sopranowe;czarny;13;169
529;03.03.2022;ukulele basowe;lipa;15;1499
530;05.03.2022;gitara basowa;czerwony;38;955
531;05.03.2022;gitara akustyczna;r騜owy;30;299
532;05.03.2022;ukulele tenorowe;czarny;17;229
533;05.03.2022;gitara akustyczna;lipa;30;299
534;05.03.2022;ukulele basowe;bia造;15;1199
535;05.03.2022;gitara basowa;lipa;38;899
536;05.03.2022;gitara klasyczna;bia造;30;895
537;05.03.2022;gitara klasyczna;bia造;34;499
538;06.03.2022;gitara akustyczna;czerwony;34;260
539;06.03.2022;ukulele sopranowe;czerwony;13;169
540;06.03.2022;ukulele basowe;bia造;15;1199
541;06.03.2022;gitara basowa;niebieski;38;1999
542;07.03.2022;gitara elektryczna;klon;34;695
543;07.03.2022;ukulele sopranowe;klon;13;169
544;07.03.2022;gitara akustyczna;lipa;30;399
545;07.03.2022;gitara akustyczna;lipa;38;1400
546;07.03.2022;ukulele koncertowe;bia造;15;379
547;07.03.2022;gitara klasyczna;czerwony;30;399
548;07.03.2022;ukulele tenorowe;klon;17;1853
549;08.03.2022;gitara elektryczna;klon;30;299
550;08.03.2022;gitara akustyczna;buk;30;399
551;08.03.2022;gitara akustyczna;buk;38;1400
552;08.03.2022;ukulele basowe;niebieski;15;1499
553;09.03.2022;ukulele sopranowe;czerwony;13;169
554;09.03.2022;gitara klasyczna;niebieski;34;499
555;09.03.2022;gitara klasyczna;klon;38;1195
556;09.03.2022;gitara akustyczna;buk;30;399
557;09.03.2022;ukulele basowe;niebieski;15;1499
558;10.03.2022;gitara basowa;czerwony;38;1699
559;10.03.2022;ukulele koncertowe;niebieski;15;265
560;10.03.2022;ukulele tenorowe;niebieski;17;699
561;10.03.2022;gitara basowa;niebieski;39;1129
562;10.03.2022;ukulele sopranowe;czarny;13;229
563;10.03.2022;ukulele koncertowe;czerwony;15;1379
564;10.03.2022;ukulele koncertowe;niebieski;15;379
565;10.03.2022;ukulele sopranowe;lipa;13;229
566;12.03.2022;gitara elektryczna;buk;39;1199
567;12.03.2022;gitara elektryczna;niebieski;38;899
568;12.03.2022;gitara klasyczna;bia造;38;1195
569;12.03.2022;ukulele koncertowe;czarny;15;265
570;13.03.2022;gitara elektryczna;bia造;38;899
571;13.03.2022;ukulele sopranowe;klon;13;229
572;13.03.2022;gitara klasyczna;niebieski;34;360
573;13.03.2022;ukulele koncertowe;czarny;15;679
574;14.03.2022;ukulele tenorowe;lipa;17;399
575;14.03.2022;ukulele basowe;czerwony;15;699
576;14.03.2022;gitara elektryczna;klon;34;480
577;14.03.2022;ukulele sopranowe;czerwony;13;229
578;14.03.2022;ukulele sopranowe;lipa;13;229
579;15.03.2022;ukulele sopranowe;czerwony;13;229
580;15.03.2022;ukulele sopranowe;czarny;13;229
581;15.03.2022;ukulele sopranowe;bia造;13;169
582;16.03.2022;gitara elektryczna;niebieski;34;480
583;16.03.2022;gitara akustyczna;lipa;34;260
584;16.03.2022;ukulele tenorowe;czerwony;17;399
585;17.03.2022;gitara elektryczna;klon;34;695
586;17.03.2022;gitara elektryczna;czerwony;39;899
587;17.03.2022;ukulele sopranowe;niebieski;13;169
588;17.03.2022;gitara elektryczna;czerwony;30;299
589;17.03.2022;ukulele tenorowe;klon;17;399
590;17.03.2022;ukulele koncertowe;czerwony;15;379
591;17.03.2022;gitara elektryczna;klon;38;1299
592;19.03.2022;gitara basowa;niebieski;30;1799
593;19.03.2022;ukulele tenorowe;klon;17;399
594;19.03.2022;ukulele basowe;klon;15;1499
595;19.03.2022;gitara basowa;niebieski;34;450
596;19.03.2022;gitara basowa;niebieski;38;899
597;19.03.2022;ukulele sopranowe;lipa;13;169
598;20.03.2022;ukulele koncertowe;bia造;15;1379
599;20.03.2022;gitara klasyczna;lipa;30;399
600;20.03.2022;gitara akustyczna;r騜owy;30;399
601;20.03.2022;gitara akustyczna;lipa;38;649
602;21.03.2022;ukulele tenorowe;lipa;17;399
603;21.03.2022;ukulele koncertowe;niebieski;15;379
604;21.03.2022;gitara akustyczna;bia造;34;260
605;21.03.2022;ukulele sopranowe;klon;13;229
606;22.03.2022;ukulele basowe;niebieski;15;699
607;22.03.2022;ukulele tenorowe;czarny;17;1853
608;22.03.2022;ukulele sopranowe;lipa;13;229
609;22.03.2022;ukulele tenorowe;czerwony;17;699
610;22.03.2022;gitara akustyczna;lipa;39;465
611;22.03.2022;ukulele koncertowe;buk;15;679
612;23.03.2022;ukulele basowe;klon;15;879
613;23.03.2022;gitara elektryczna;czerwony;39;1395
614;23.03.2022;ukulele tenorowe;r騜owy;17;699
615;23.03.2022;gitara akustyczna;klon;39;955
616;23.03.2022;ukulele koncertowe;czerwony;15;265
617;23.03.2022;ukulele sopranowe;czarny;13;229
618;23.03.2022;gitara klasyczna;klon;30;399
619;24.03.2022;gitara klasyczna;czerwony;34;569
620;24.03.2022;gitara elektryczna;klon;39;499
621;24.03.2022;gitara akustyczna;buk;34;260
622;24.03.2022;ukulele koncertowe;bia造;15;679
623;24.03.2022;ukulele basowe;bia造;15;1199
624;24.03.2022;gitara akustyczna;lipa;30;899
625;24.03.2022;ukulele basowe;bia造;15;1199
626;24.03.2022;ukulele tenorowe;niebieski;17;699
627;24.03.2022;ukulele basowe;niebieski;15;1499
628;26.03.2022;gitara klasyczna;niebieski;34;569
629;26.03.2022;gitara akustyczna;niebieski;39;1599
630;26.03.2022;ukulele tenorowe;r騜owy;17;699
631;26.03.2022;ukulele tenorowe;klon;17;1853
632;26.03.2022;gitara akustyczna;czerwony;30;899
633;26.03.2022;gitara klasyczna;buk;34;499
634;26.03.2022;ukulele basowe;bia造;15;879
635;27.03.2022;gitara akustyczna;czarny;30;499
636;27.03.2022;ukulele tenorowe;buk;17;699
637;27.03.2022;gitara elektryczna;buk;39;899
638;27.03.2022;ukulele koncertowe;niebieski;15;379
639;27.03.2022;ukulele basowe;czerwony;15;1199
640;27.03.2022;gitara akustyczna;czarny;38;955
641;27.03.2022;ukulele tenorowe;r騜owy;17;399
642;27.03.2022;ukulele basowe;niebieski;15;1199
643;28.03.2022;gitara elektryczna;klon;34;699
644;28.03.2022;ukulele basowe;czerwony;15;1499
645;28.03.2022;ukulele basowe;niebieski;15;699
646;28.03.2022;gitara klasyczna;niebieski;39;1099
647;28.03.2022;gitara klasyczna;bia造;34;499
648;28.03.2022;gitara akustyczna;lipa;30;299
649;28.03.2022;gitara elektryczna;buk;34;699
650;28.03.2022;ukulele koncertowe;niebieski;15;1379
651;29.03.2022;gitara elektryczna;klon;39;1199
652;29.03.2022;gitara elektryczna;lipa;30;695
653;29.03.2022;ukulele basowe;niebieski;15;879
654;29.03.2022;ukulele tenorowe;czerwony;17;399
655;29.03.2022;ukulele sopranowe;czerwony;13;259
656;30.03.2022;gitara elektryczna;niebieski;38;699
657;30.03.2022;gitara akustyczna;czerwony;38;1699
658;30.03.2022;gitara klasyczna;lipa;39;699
659;02.04.2022;gitara klasyczna;niebieski;30;399
660;02.04.2022;gitara elektryczna;czerwony;39;499
661;02.04.2022;ukulele basowe;lipa;15;1199
662;02.04.2022;gitara elektryczna;niebieski;34;695
663;02.04.2022;gitara klasyczna;bia造;38;796
664;02.04.2022;gitara klasyczna;bia造;39;795
665;02.04.2022;gitara elektryczna;bia造;38;699
666;02.04.2022;gitara elektryczna;buk;30;1299
667;02.04.2022;gitara akustyczna;klon;39;1129
668;03.04.2022;ukulele koncertowe;klon;15;379
669;03.04.2022;ukulele sopranowe;klon;13;259
670;03.04.2022;gitara elektryczna;buk;34;699
671;03.04.2022;ukulele sopranowe;czarny;13;259
672;03.04.2022;gitara klasyczna;lipa;38;796
673;03.04.2022;gitara akustyczna;czerwony;38;1699
674;03.04.2022;gitara klasyczna;niebieski;39;699
675;03.04.2022;ukulele tenorowe;niebieski;17;399
676;03.04.2022;ukulele basowe;czarny;15;1499
677;04.04.2022;gitara basowa;lipa;34;450
678;04.04.2022;gitara akustyczna;lipa;30;299
679;04.04.2022;ukulele sopranowe;czerwony;13;229
680;04.04.2022;ukulele basowe;lipa;15;1499
681;04.04.2022;gitara basowa;bia造;38;899
682;04.04.2022;ukulele basowe;czerwony;15;1499
683;04.04.2022;ukulele tenorowe;buk;17;1853
684;04.04.2022;gitara basowa;niebieski;34;450
685;04.04.2022;gitara akustyczna;lipa;30;899
686;05.04.2022;ukulele sopranowe;czarny;13;229
687;05.04.2022;ukulele basowe;lipa;15;1199
688;06.04.2022;gitara akustyczna;czerwony;38;499
689;06.04.2022;gitara klasyczna;niebieski;38;699
690;06.04.2022;gitara akustyczna;czarny;30;899
691;06.04.2022;ukulele sopranowe;czerwony;13;229
692;09.04.2022;ukulele sopranowe;klon;13;229
693;09.04.2022;gitara basowa;niebieski;39;1699
694;09.04.2022;gitara elektryczna;bia造;34;480
695;09.04.2022;gitara klasyczna;buk;38;1195
696;09.04.2022;ukulele sopranowe;czerwony;13;229
697;09.04.2022;gitara akustyczna;czarny;39;1599
698;09.04.2022;ukulele basowe;klon;15;879
699;09.04.2022;ukulele basowe;niebieski;15;1199
700;10.04.2022;ukulele basowe;klon;15;1199
701;10.04.2022;ukulele tenorowe;jesion;17;229
702;10.04.2022;gitara elektryczna;niebieski;30;1299
703;10.04.2022;gitara elektryczna;buk;30;695
704;10.04.2022;ukulele koncertowe;niebieski;15;265
705;10.04.2022;gitara akustyczna;niebieski;30;399
706;10.04.2022;gitara elektryczna;lipa;39;899
707;11.04.2022;ukulele basowe;klon;15;1499
708;11.04.2022;ukulele basowe;czerwony;15;1499
709;11.04.2022;ukulele tenorowe;buk;17;699
710;11.04.2022;ukulele tenorowe;klon;17;699
711;11.04.2022;ukulele sopranowe;r騜owy;13;229
712;11.04.2022;ukulele tenorowe;niebieski;17;229
713;11.04.2022;gitara elektryczna;buk;38;1299
714;12.04.2022;ukulele tenorowe;niebieski;17;229
715;12.04.2022;ukulele tenorowe;bia造;17;1853
716;12.04.2022;gitara elektryczna;buk;38;1599
717;12.04.2022;ukulele sopranowe;niebieski;13;169
718;12.04.2022;ukulele basowe;lipa;15;699
719;12.04.2022;ukulele koncertowe;lipa;15;679
720;12.04.2022;gitara elektryczna;klon;39;699
721;12.04.2022;gitara elektryczna;niebieski;38;1299
722;12.04.2022;ukulele sopranowe;lipa;13;169
723;12.04.2022;ukulele sopranowe;niebieski;13;169
724;12.04.2022;ukulele basowe;klon;15;879
725;13.04.2022;ukulele basowe;bia造;15;699
726;13.04.2022;ukulele basowe;niebieski;15;1499
727;13.04.2022;ukulele koncertowe;bia造;15;379
728;13.04.2022;ukulele basowe;czerwony;15;1199
729;14.04.2022;gitara basowa;lipa;39;1699
730;14.04.2022;gitara elektryczna;buk;39;1395
731;14.04.2022;ukulele tenorowe;czerwony;17;229
732;14.04.2022;ukulele tenorowe;lipa;17;229
733;14.04.2022;gitara elektryczna;niebieski;30;499
734;14.04.2022;gitara elektroakustyczna;jesion;34;480
735;14.04.2022;ukulele sopranowe;lipa;13;169
736;14.04.2022;ukulele sopranowe;buk;13;229
737;14.04.2022;gitara klasyczna;czerwony;38;699
738;14.04.2022;gitara akustyczna;lipa;38;499
739;16.04.2022;gitara akustyczna;bia造;38;1400
740;16.04.2022;ukulele koncertowe;czarny;15;379
741;16.04.2022;gitara elektryczna;buk;34;699
742;16.04.2022;gitara elektryczna;lipa;38;1299
743;16.04.2022;ukulele basowe;buk;15;879
744;16.04.2022;gitara akustyczna;bia造;38;955
745;16.04.2022;ukulele sopranowe;lipa;13;229
746;16.04.2022;ukulele basowe;czerwony;15;1199
747;16.04.2022;ukulele tenorowe;czerwony;17;229
748;17.04.2022;gitara elektryczna;klon;30;499
749;17.04.2022;ukulele basowe;czerwony;15;1499
750;17.04.2022;ukulele basowe;jesion;15;1199
751;17.04.2022;gitara elektryczna;niebieski;39;1395
752;17.04.2022;ukulele basowe;klon;15;1199
753;17.04.2022;ukulele koncertowe;niebieski;15;265
754;18.04.2022;ukulele tenorowe;lipa;17;699
755;18.04.2022;gitara klasyczna;bia造;34;569
756;18.04.2022;gitara elektryczna;czerwony;39;699
757;18.04.2022;gitara elektryczna;bia造;30;695
758;18.04.2022;gitara klasyczna;bia造;30;895
759;18.04.2022;gitara elektryczna;czerwony;38;699
760;19.04.2022;gitara elektryczna;klon;34;480
761;19.04.2022;gitara akustyczna;lipa;38;1699
762;19.04.2022;ukulele koncertowe;buk;15;1379
763;19.04.2022;ukulele basowe;lipa;15;1199
764;19.04.2022;ukulele sopranowe;niebieski;13;229
765;19.04.2022;ukulele sopranowe;czerwony;13;229
766;19.04.2022;gitara elektryczna;niebieski;39;899
767;19.04.2022;ukulele koncertowe;niebieski;15;1379
768;20.04.2022;ukulele sopranowe;jesion;13;229
769;20.04.2022;ukulele sopranowe;lipa;13;229
770;20.04.2022;gitara akustyczna;lipa;39;955
771;20.04.2022;ukulele basowe;lipa;15;1199
772;20.04.2022;gitara akustyczna;bia造;39;1129
773;20.04.2022;gitara akustyczna;czerwony;34;260
774;20.04.2022;gitara akustyczna;bia造;39;955
775;20.04.2022;ukulele sopranowe;klon;13;229
776;20.04.2022;gitara basowa;niebieski;34;699
777;20.04.2022;ukulele tenorowe;buk;17;699
778;21.04.2022;ukulele sopranowe;r騜owy;13;259
779;21.04.2022;ukulele tenorowe;jesion;17;1853
780;21.04.2022;ukulele sopranowe;czarny;13;259
781;21.04.2022;gitara akustyczna;czerwony;34;360
782;21.04.2022;gitara akustyczna;czarny;34;360
783;23.04.2022;ukulele tenorowe;czerwony;17;229
784;23.04.2022;gitara basowa;bia造;34;699
785;23.04.2022;ukulele tenorowe;lipa;17;229
786;23.04.2022;ukulele basowe;klon;15;1499
787;23.04.2022;ukulele basowe;bia造;15;1199
788;23.04.2022;gitara basowa;czerwony;39;789
789;24.04.2022;gitara elektryczna;lipa;30;695
790;24.04.2022;ukulele tenorowe;r騜owy;17;399
791;24.04.2022;ukulele basowe;niebieski;15;1499
792;25.04.2022;gitara akustyczna;niebieski;38;955
793;25.04.2022;ukulele tenorowe;czerwony;17;399
794;25.04.2022;ukulele sopranowe;lipa;13;259
795;25.04.2022;gitara elektryczna;buk;34;695
796;25.04.2022;gitara akustyczna;lipa;30;399
797;25.04.2022;gitara elektryczna;czerwony;39;1199
798;25.04.2022;ukulele koncertowe;lipa;15;379
799;25.04.2022;ukulele basowe;klon;15;1499
800;25.04.2022;gitara akustyczna;lipa;39;1129
801;26.04.2022;ukulele koncertowe;bia造;15;379
802;26.04.2022;ukulele koncertowe;niebieski;15;679
803;26.04.2022;ukulele sopranowe;czerwony;13;259
804;26.04.2022;ukulele tenorowe;buk;17;399
805;26.04.2022;ukulele tenorowe;niebieski;17;399
806;26.04.2022;ukulele sopranowe;klon;13;259
807;26.04.2022;ukulele basowe;niebieski;15;1199
808;26.04.2022;gitara elektryczna;buk;30;1299
809;26.04.2022;gitara elektryczna;buk;38;699
810;27.04.2022;gitara akustyczna;niebieski;39;955
811;27.04.2022;ukulele basowe;lipa;15;1199
812;27.04.2022;ukulele basowe;lipa;15;879
813;27.04.2022;gitara basowa;czerwony;34;450
814;27.04.2022;ukulele basowe;buk;15;699
815;27.04.2022;gitara klasyczna;niebieski;30;299
816;27.04.2022;gitara klasyczna;bia造;34;569
817;28.04.2022;ukulele sopranowe;bia造;13;229
818;28.04.2022;gitara elektryczna;niebieski;39;699
819;28.04.2022;ukulele sopranowe;niebieski;13;229
820;28.04.2022;gitara akustyczna;lipa;30;399
821;28.04.2022;gitara elektryczna;lipa;39;499
822;28.04.2022;ukulele koncertowe;bia造;15;1379
823;30.04.2022;ukulele tenorowe;bia造;17;399
824;30.04.2022;gitara akustyczna;buk;34;260
825;30.04.2022;ukulele basowe;czerwony;15;1199
826;30.04.2022;gitara akustyczna;czarny;39;955
827;30.04.2022;ukulele basowe;buk;15;1499
828;30.04.2022;gitara akustyczna;lipa;30;899
829;30.04.2022;gitara elektryczna;lipa;34;699
830;02.05.2022;ukulele koncertowe;lipa;15;679
831;02.05.2022;gitara akustyczna;czarny;38;1400
832;02.05.2022;ukulele tenorowe;czerwony;17;399
833;02.05.2022;gitara klasyczna;niebieski;34;569
834;02.05.2022;gitara akustyczna;niebieski;30;299
835;02.05.2022;gitara klasyczna;niebieski;39;795
836;02.05.2022;gitara basowa;niebieski;38;1999
837;02.05.2022;ukulele sopranowe;niebieski;13;229
838;04.05.2022;gitara akustyczna;niebieski;38;1400
839;04.05.2022;gitara akustyczna;czerwony;38;1699
840;04.05.2022;ukulele basowe;r騜owy;15;1499
841;04.05.2022;ukulele koncertowe;bia造;15;379
842;04.05.2022;ukulele basowe;niebieski;15;879
843;04.05.2022;ukulele sopranowe;lipa;13;169
844;04.05.2022;gitara klasyczna;niebieski;38;369
845;04.05.2022;gitara elektryczna;czerwony;38;1599
846;05.05.2022;ukulele sopranowe;r騜owy;13;169
847;05.05.2022;gitara akustyczna;lipa;34;260
848;05.05.2022;gitara elektryczna;klon;34;699
849;05.05.2022;gitara akustyczna;czerwony;30;899
850;05.05.2022;gitara elektryczna;niebieski;30;1299
851;05.05.2022;ukulele tenorowe;czarny;17;399
852;05.05.2022;gitara elektryczna;buk;38;1299
853;05.05.2022;gitara elektryczna;klon;38;899
854;05.05.2022;gitara akustyczna;lipa;34;260
855;07.05.2022;ukulele koncertowe;czerwony;15;1379
856;07.05.2022;gitara klasyczna;bia造;30;299
857;07.05.2022;gitara akustyczna;niebieski;30;899
858;07.05.2022;ukulele sopranowe;buk;13;169
859;07.05.2022;gitara klasyczna;bia造;30;699
860;07.05.2022;gitara klasyczna;bia造;38;796
861;07.05.2022;ukulele koncertowe;czarny;15;1379
862;07.05.2022;gitara basowa;lipa;30;1699
863;07.05.2022;ukulele basowe;r騜owy;15;879
864;07.05.2022;gitara klasyczna;klon;38;1359
865;08.05.2022;gitara akustyczna;czerwony;39;1599
866;08.05.2022;ukulele koncertowe;buk;15;679
867;08.05.2022;gitara klasyczna;bia造;34;360
868;08.05.2022;ukulele tenorowe;klon;17;699
869;08.05.2022;ukulele tenorowe;klon;17;699
870;08.05.2022;gitara akustyczna;lipa;38;649
871;08.05.2022;ukulele basowe;klon;15;1199
872;08.05.2022;ukulele basowe;klon;15;1199
873;08.05.2022;gitara basowa;r騜owy;34;450
874;08.05.2022;gitara akustyczna;niebieski;34;260
875;09.05.2022;ukulele koncertowe;lipa;15;379
876;09.05.2022;gitara elektryczna;bia造;39;899
877;09.05.2022;ukulele tenorowe;czerwony;17;1853
878;09.05.2022;ukulele tenorowe;czerwony;17;399
879;09.05.2022;ukulele sopranowe;czerwony;13;169
880;09.05.2022;gitara elektryczna;klon;39;499
881;09.05.2022;ukulele koncertowe;czerwony;15;379
882;09.05.2022;ukulele koncertowe;klon;15;679
883;09.05.2022;ukulele tenorowe;lipa;17;399
884;10.05.2022;ukulele koncertowe;czarny;15;1379
885;10.05.2022;ukulele tenorowe;klon;17;399
886;10.05.2022;ukulele koncertowe;lipa;15;379
887;10.05.2022;gitara klasyczna;lipa;38;1359
888;10.05.2022;gitara klasyczna;bia造;38;369
889;10.05.2022;ukulele koncertowe;niebieski;15;679
890;10.05.2022;ukulele tenorowe;niebieski;17;1853
891;10.05.2022;ukulele koncertowe;niebieski;15;379
892;11.05.2022;ukulele sopranowe;buk;13;229
893;11.05.2022;ukulele basowe;czerwony;15;699
894;11.05.2022;gitara akustyczna;czarny;39;465
895;11.05.2022;ukulele sopranowe;r騜owy;13;229
896;11.05.2022;ukulele tenorowe;lipa;17;229
897;11.05.2022;ukulele sopranowe;lipa;13;229
898;11.05.2022;gitara elektryczna;bia造;39;1199
899;11.05.2022;ukulele tenorowe;bia造;17;229
900;12.05.2022;ukulele tenorowe;czarny;17;229
901;12.05.2022;ukulele koncertowe;niebieski;15;265
902;12.05.2022;gitara klasyczna;niebieski;34;360
903;12.05.2022;ukulele tenorowe;czerwony;17;699
904;12.05.2022;ukulele tenorowe;czerwony;17;1853
905;14.05.2022;ukulele koncertowe;lipa;15;1199
906;14.05.2022;ukulele koncertowe;lipa;15;1199
907;14.05.2022;ukulele sopranowe;lipa;13;229
908;14.05.2022;gitara akustyczna;buk;38;1699
909;14.05.2022;ukulele tenorowe;niebieski;17;1853
910;14.05.2022;gitara basowa;lipa;38;1699
911;14.05.2022;ukulele koncertowe;bia造;15;679
912;14.05.2022;ukulele basowe;lipa;15;1499
913;14.05.2022;gitara elektryczna;buk;38;899
914;14.05.2022;ukulele sopranowe;buk;13;169
915;14.05.2022;gitara basowa;lipa;38;899
916;15.05.2022;gitara elektryczna;bia造;34;480
917;15.05.2022;ukulele sopranowe;czerwony;13;169
918;15.05.2022;ukulele basowe;lipa;15;879
919;15.05.2022;gitara elektryczna;czerwony;39;899
920;15.05.2022;gitara elektryczna;czerwony;39;499
921;15.05.2022;gitara akustyczna;lipa;30;899
922;15.05.2022;ukulele tenorowe;czarny;17;1853
923;15.05.2022;gitara akustyczna;lipa;34;260
924;16.05.2022;gitara elektryczna;czerwony;38;899
925;16.05.2022;gitara elektryczna;czerwony;38;1599
926;16.05.2022;ukulele sopranowe;lipa;13;169
927;16.05.2022;ukulele koncertowe;buk;15;265
928;17.05.2022;ukulele basowe;czarny;15;879
929;17.05.2022;gitara akustyczna;buk;39;1599
930;17.05.2022;gitara elektryczna;niebieski;30;1299
931;17.05.2022;ukulele koncertowe;czerwony;15;1199
932;17.05.2022;gitara klasyczna;buk;38;1195
933;17.05.2022;gitara akustyczna;lipa;39;465
934;17.05.2022;ukulele sopranowe;czerwony;13;169
935;17.05.2022;ukulele tenorowe;lipa;17;399
936;17.05.2022;ukulele koncertowe;czerwony;15;679
937;17.05.2022;ukulele tenorowe;lipa;17;399
938;17.05.2022;ukulele tenorowe;czerwony;17;399
939;17.05.2022;ukulele basowe;klon;15;1199
940;17.05.2022;ukulele basowe;niebieski;15;1199
941;17.05.2022;ukulele sopranowe;czarny;13;229
942;17.05.2022;ukulele sopranowe;czerwony;13;229
943;18.05.2022;ukulele koncertowe;niebieski;15;379
944;18.05.2022;ukulele sopranowe;czerwony;13;259
945;18.05.2022;ukulele sopranowe;niebieski;13;259
946;18.05.2022;gitara elektryczna;klon;38;1299
947;18.05.2022;ukulele basowe;niebieski;15;699
948;18.05.2022;gitara elektryczna;czarny;39;1395
949;18.05.2022;gitara basowa;niebieski;34;450
950;18.05.2022;gitara elektryczna;czarny;34;480
951;18.05.2022;ukulele basowe;czarny;15;1499
952;19.05.2022;gitara elektryczna;klon;39;1199
953;19.05.2022;gitara klasyczna;niebieski;38;1195
954;19.05.2022;gitara basowa;lipa;38;899
955;19.05.2022;ukulele basowe;czerwony;15;1499
956;19.05.2022;gitara elektryczna;lipa;34;480
957;19.05.2022;gitara elektryczna;bia造;34;699
958;19.05.2022;ukulele tenorowe;niebieski;17;399
959;19.05.2022;ukulele sopranowe;czerwony;13;259
960;19.05.2022;gitara akustyczna;czarny;30;499
961;19.05.2022;ukulele tenorowe;buk;17;1853
962;19.05.2022;ukulele tenorowe;czerwony;17;699
963;19.05.2022;ukulele tenorowe;lipa;17;699
964;19.05.2022;ukulele koncertowe;lipa;15;1379
965;19.05.2022;ukulele basowe;niebieski;15;879
966;21.05.2022;ukulele sopranowe;niebieski;13;259
967;21.05.2022;gitara akustyczna;czarny;39;1599
968;21.05.2022;ukulele basowe;niebieski;15;1499
969;21.05.2022;ukulele sopranowe;jesion;13;259
970;21.05.2022;gitara akustyczna;czerwony;38;1400
971;21.05.2022;gitara akustyczna;niebieski;34;360
972;21.05.2022;gitara basowa;niebieski;34;450
973;21.05.2022;gitara akustyczna;r騜owy;39;465
974;21.05.2022;ukulele sopranowe;lipa;13;259
975;21.05.2022;ukulele basowe;r騜owy;15;1199
976;21.05.2022;ukulele tenorowe;buk;17;699
977;22.05.2022;ukulele sopranowe;jesion;13;259
978;22.05.2022;ukulele sopranowe;czerwony;13;229
979;22.05.2022;gitara elektryczna;czerwony;34;695
980;22.05.2022;gitara klasyczna;niebieski;30;1399
981;22.05.2022;ukulele basowe;lipa;15;1199
982;22.05.2022;ukulele tenorowe;lipa;17;699
983;22.05.2022;gitara klasyczna;niebieski;38;1195
984;22.05.2022;gitara klasyczna;bia造;39;499
985;22.05.2022;gitara klasyczna;bia造;30;1399
986;22.05.2022;gitara elektryczna;lipa;30;1299
987;23.05.2022;ukulele koncertowe;r騜owy;15;379
988;23.05.2022;ukulele basowe;klon;15;879
989;23.05.2022;gitara basowa;niebieski;30;499
990;23.05.2022;ukulele sopranowe;lipa;13;229
991;23.05.2022;ukulele basowe;lipa;15;1199
992;23.05.2022;gitara basowa;niebieski;30;499
993;23.05.2022;gitara akustyczna;czerwony;39;465
994;23.05.2022;ukulele basowe;lipa;15;1199
995;23.05.2022;ukulele tenorowe;buk;17;1853
996;24.05.2022;ukulele sopranowe;lipa;13;229
997;24.05.2022;ukulele basowe;czerwony;15;1499
998;24.05.2022;ukulele basowe;niebieski;15;1499
999;24.05.2022;gitara elektryczna;czerwony;38;1299
1000;24.05.2022;ukulele basowe;lipa;15;699
1001;25.05.2022;ukulele tenorowe;bia造;17;399
1002;25.05.2022;ukulele basowe;lipa;15;879
1003;25.05.2022;gitara basowa;czerwony;39;1329
1004;25.05.2022;ukulele sopranowe;lipa;13;229
1005;25.05.2022;gitara klasyczna;bia造;34;360
1006;25.05.2022;gitara akustyczna;czarny;39;955
1007;25.05.2022;gitara klasyczna;czarny;34;360
1008;25.05.2022;ukulele basowe;buk;15;699
1009;25.05.2022;ukulele koncertowe;lipa;15;1379
1010;25.05.2022;gitara elektryczna;lipa;30;695
1011;26.05.2022;gitara akustyczna;buk;34;260
1012;26.05.2022;ukulele basowe;lipa;15;699
1013;26.05.2022;ukulele tenorowe;klon;17;399
1014;28.05.2022;ukulele basowe;bia造;15;1499
1015;28.05.2022;gitara klasyczna;niebieski;38;699
1016;28.05.2022;gitara klasyczna;klon;30;699
1017;28.05.2022;gitara elektryczna;buk;39;899
1018;28.05.2022;ukulele basowe;niebieski;15;1199
1019;28.05.2022;gitara klasyczna;lipa;38;699
1020;28.05.2022;ukulele tenorowe;buk;17;399
1021;28.05.2022;gitara akustyczna;buk;34;360
1022;28.05.2022;gitara elektryczna;czarny;30;299
1023;28.05.2022;ukulele basowe;niebieski;15;1499
1024;29.05.2022;gitara elektryczna;bia造;39;899
1025;29.05.2022;gitara elektryczna;niebieski;38;1599
1026;29.05.2022;gitara klasyczna;niebieski;34;499
1027;29.05.2022;ukulele sopranowe;czerwony;13;229
1028;29.05.2022;gitara klasyczna;czerwony;38;796
1029;29.05.2022;ukulele koncertowe;buk;15;1379
1030;29.05.2022;ukulele koncertowe;buk;15;265
1031;29.05.2022;ukulele basowe;lipa;15;1199
1032;29.05.2022;gitara akustyczna;jesion;34;260
1033;29.05.2022;ukulele koncertowe;bia造;15;1379
1034;29.05.2022;ukulele sopranowe;lipa;13;229
1035;30.05.2022;ukulele koncertowe;lipa;15;379
1036;30.05.2022;gitara klasyczna;niebieski;38;796
1037;30.05.2022;ukulele koncertowe;buk;15;1379
1038;30.05.2022;ukulele sopranowe;czarny;13;229
1039;30.05.2022;gitara elektryczna;czarny;39;499
1040;30.05.2022;gitara akustyczna;lipa;39;465
1041;30.05.2022;ukulele koncertowe;buk;15;379
1042;30.05.2022;gitara klasyczna;czerwony;34;499
1043;30.05.2022;gitara akustyczna;czarny;34;260
1044;30.05.2022;gitara akustyczna;lipa;38;955
